id,name,description,category,latitude,longitude,source,source_url,tags,prefecture
overpass-0079,鳥屋越,,walking,35.540747,139.233523,overpass,https://www.openstreetmap.org/node/1654445220,,kanagawa
overpass-0080,権現平,,walking,35.546007,139.23503,overpass,https://www.openstreetmap.org/node/1654449260,,kanagawa
overpass-0081,南山,,walking,35.5486839,139.2452418,overpass,https://www.openstreetmap.org/node/1654451507,,kanagawa
overpass-0082,第4休憩所,,meditation,35.7931706,139.239681,overpass,https://www.openstreetmap.org/node/1657971581,bench,tokyo
overpass-0083,第3休憩所,,meditation,35.7934729,139.2467601,overpass,https://www.openstreetmap.org/node/1657971598,bench,tokyo
overpass-0084,稲荷山公園展望台,,meditation,35.8513619,139.4008142,overpass,https://www.openstreetmap.org/node/1667665516,,tokyo
overpass-0085,パノラマ台,,meditation,35.4126109,138.9094791,overpass,https://www.openstreetmap.org/node/1668712785,,kanagawa
overpass-0086,薬師堂のマキ,,meditation,35.8627291,139.5902741,overpass,https://www.openstreetmap.org/node/1678068361,,tokyo
overpass-0087,富士山とランドマークタワー,,meditation,35.4418062,139.5620334,overpass,https://www.openstreetmap.org/node/1678499478,,kanagawa
overpass-0088,日の出山,,walking,35.7812407,139.1674711,overpass,https://www.openstreetmap.org/node/1681906653,,tokyo
overpass-0089,三室山,,walking,35.7862259,139.1985434,overpass,https://www.openstreetmap.org/node/1681906655,,tokyo
overpass-0090,明治百年記念展望台,,meditation,35.312756,139.7854193,overpass,https://www.openstreetmap.org/node/1705606648,,kanagawa
overpass-0091,展望ベンチ,,meditation,35.3716782,139.243482,overpass,https://www.openstreetmap.org/node/1707830135,bench,kanagawa
overpass-0092,権現山,,walking,35.3717774,139.2432975,overpass,https://www.openstreetmap.org/node/1707830136,,kanagawa
overpass-0093,弘法山,ja:弘法山,walking,35.3751459,139.2502445,overpass,https://www.openstreetmap.org/node/1707830242,,kanagawa
overpass-0094,浅間山,,walking,35.3708517,139.2399095,overpass,https://www.openstreetmap.org/node/1707858282,,kanagawa
overpass-0095,吾妻山,,walking,35.3843678,139.2687175,overpass,https://www.openstreetmap.org/node/1711490672,,kanagawa
overpass-0096,平塚テレビ中継局,ja:平塚テレビ中継局,meditation,35.3206767,139.3105445,overpass,https://www.openstreetmap.org/node/1719284136,,kanagawa
overpass-0097,陣馬山,en:Mount Jinba,walking,35.6521695,139.1665125,overpass,https://www.openstreetmap.org/node/1727671797,,tokyo
overpass-0098,扇山,ja:扇山 (大月市),walking,35.6373287,139.0136516,overpass,https://www.openstreetmap.org/node/1736088460,,tokyo
overpass-0099,倉岳山,ja:倉岳山,walking,35.5840323,139.0198373,overpass,https://www.openstreetmap.org/node/1744843829,,tokyo
overpass-0100,新幹線が見える丘,,walking,35.4093185,139.4078043,overpass,https://www.openstreetmap.org/node/1750408531,,kanagawa
overpass-0101,滝入ノ頭,,walking,35.9043499,139.114755,overpass,https://www.openstreetmap.org/node/1760779147,,tokyo
overpass-0102,祇園山見晴台,,meditation,35.3147638,139.5554223,overpass,https://www.openstreetmap.org/node/1782561793,,kanagawa
overpass-0103,景信山,ja:景信山,walking,35.6460086,139.215893,overpass,https://www.openstreetmap.org/node/1816157339,,tokyo
overpass-0104,パノラマ台,,meditation,35.3109957,139.5674368,overpass,https://www.openstreetmap.org/node/1826053372,,kanagawa
overpass-0105,景観百選(富士山),,meditation,35.3129964,139.5685159,overpass,https://www.openstreetmap.org/node/1826211444,,kanagawa
overpass-0106,大寺山,,walking,35.769417,138.9836716,overpass,https://www.openstreetmap.org/node/1827273460,,tokyo
overpass-0107,三頭山 東峰,,walking,35.738564,139.0140689,overpass,https://www.openstreetmap.org/node/1827281756,,tokyo
overpass-0108,丸山,,walking,35.6190021,138.9494491,overpass,https://www.openstreetmap.org/node/1852480986,,tokyo
overpass-0109,岩殿山,,walking,35.6206994,138.9483748,overpass,https://www.openstreetmap.org/node/1852503364,,tokyo
overpass-0110,稚児落し,,walking,35.6242597,138.9345886,overpass,https://www.openstreetmap.org/node/1852509782,,tokyo
overpass-0111,平尾山,,walking,35.4423863,138.8931727,overpass,https://www.openstreetmap.org/node/1863871110,,kanagawa
overpass-0112,石割山,ja:石割山,walking,35.4504909,138.901359,overpass,https://www.openstreetmap.org/node/1863871113,,kanagawa
overpass-0113,赤ぼっこ,,meditation,35.7691919,139.238226,overpass,https://www.openstreetmap.org/node/1873552277,,tokyo
overpass-0114,天狗岩,,meditation,35.770792,139.2348049,overpass,https://www.openstreetmap.org/node/1873552289,,tokyo
overpass-0115,テレコムセンター展望室,,meditation,35.617096,139.780078,overpass,https://www.openstreetmap.org/node/1880385539,,tokyo
overpass-0116,御前山,ja:御前山 (東京都),walking,35.7701297,139.0805713,overpass,https://www.openstreetmap.org/node/1883283876,,tokyo
overpass-0117,鐘掛山,,walking,36.098083,139.017936,overpass,https://www.openstreetmap.org/node/1908610948,,tokyo
overpass-0118,関八州見晴台,ja:関八州見晴台,meditation,35.9458813,139.222137,overpass,https://www.openstreetmap.org/node/1915115466,,tokyo
overpass-0119,堂平山,ja:堂平山,walking,36.0057582,139.1900808,overpass,https://www.openstreetmap.org/node/1918235893,,tokyo
overpass-0120,二十六夜山,,walking,35.565836,139.0441023,overpass,https://www.openstreetmap.org/node/1918278932,,tokyo
overpass-0121,高畑山,ja:高畑山 (山梨県),walking,35.579358,139.0040303,overpass,https://www.openstreetmap.org/node/1924795089,,tokyo
overpass-0122,惣岳山,ja:惣岳山,walking,35.7720189,139.0753798,overpass,https://www.openstreetmap.org/node/1925163052,,tokyo
overpass-0123,嵐山,ja:嵐山 (神奈川県),walking,35.6116091,139.1986821,overpass,https://www.openstreetmap.org/node/1939084060,,tokyo
overpass-0124,鍋割山,ja:鍋割山 (神奈川県),walking,35.4438534,139.1415288,overpass,https://www.openstreetmap.org/node/1970901525,,kanagawa
overpass-0125,三ツ峠山,ja:三つ峠,walking,35.5491648,138.8091636,overpass,https://www.openstreetmap.org/node/1971563467,,kanagawa
overpass-0126,石砂山,,walking,35.5724367,139.1694161,overpass,https://www.openstreetmap.org/node/1985909542,,tokyo
overpass-0127,石老山,ja:石老山,walking,35.5850709,139.190778,overpass,https://www.openstreetmap.org/node/1985909546,,tokyo
overpass-0128,秩父御岳山,ja:秩父御岳山,walking,35.9665805,138.94272,overpass,https://www.openstreetmap.org/node/1998588310,,tokyo
overpass-0129,富士岬平,,meditation,35.4376803,138.9275733,overpass,https://www.openstreetmap.org/node/2008102149,,kanagawa
overpass-0130,高指山,,walking,35.4329177,138.9263803,overpass,https://www.openstreetmap.org/node/2008147278,,kanagawa
overpass-0131,大平山,ja:大平山 (鎌倉市),walking,35.3375319,139.5723389,overpass,https://www.openstreetmap.org/node/2027424019,,kanagawa
overpass-0132,見晴台,,meditation,35.4345884,139.2452728,overpass,https://www.openstreetmap.org/node/2038087727,,kanagawa
overpass-0133,小廬山,"Rozan (廬山, Lu Shan) is a famous mountain in Jiangxi, China, celebrated in Chinese poetry and painting.
Designers created a miniature version of Rozan using:
a small artificial hill, stone arrangements &  plantings that evoke Chinese landscape aesthetics",meditation,35.7055646,139.748643,overpass,https://www.openstreetmap.org/node/2068114589,,tokyo
overpass-0134,富士見台,,meditation,35.4355402,139.2317976,overpass,https://www.openstreetmap.org/node/2068140284,,kanagawa
overpass-0135,三峰山,ja:三峰山 (丹沢),walking,35.4646926,139.2447589,overpass,https://www.openstreetmap.org/node/2087077479,,kanagawa
overpass-0136,鷹取山,,walking,35.6342086,139.1319304,overpass,https://www.openstreetmap.org/node/2090550553,,tokyo
overpass-0137,向山,,walking,35.546875,139.275016,overpass,https://www.openstreetmap.org/node/2101549216,,kanagawa
overpass-0138,鍋嵐,ja:鍋嵐,walking,35.4854887,139.2364069,overpass,https://www.openstreetmap.org/node/2108808387,,kanagawa
overpass-0139,展望台,,meditation,35.3216525,139.5890948,overpass,https://www.openstreetmap.org/node/2128808370,,kanagawa
overpass-0140,清水坂山,,walking,35.3948134,139.6052456,overpass,https://www.openstreetmap.org/node/2131873084,,kanagawa
overpass-0141,栗ノ木洞,ja:栗ノ木洞,walking,35.4241932,139.1466967,overpass,https://www.openstreetmap.org/node/2136775523,,kanagawa
overpass-0142,櫟山,,walking,35.4186982,139.1481733,overpass,https://www.openstreetmap.org/node/2136775612,,kanagawa
overpass-0143,浅間山,ja:浅間山 (箱根町),walking,35.2334873,139.0595048,overpass,https://www.openstreetmap.org/node/2143486956,,kanagawa
overpass-0144,鷹巣山,ja:鷹巣山 (神奈川県),walking,35.2273485,139.0539125,overpass,https://www.openstreetmap.org/node/2143496664,,kanagawa
overpass-0145,麻生山,,walking,35.7696434,139.1797679,overpass,https://www.openstreetmap.org/node/2151396872,,tokyo
overpass-0146,世附権現山,ja:権現山 (丹沢 世附),walking,35.4305748,139.0252461,overpass,https://www.openstreetmap.org/node/2158929886,,kanagawa
overpass-0147,浅間嶺,,walking,35.7200537,139.1022591,overpass,https://www.openstreetmap.org/node/2169884485,,tokyo
overpass-0148,金比羅公園展望台,,meditation,35.7361186,139.2083889,overpass,https://www.openstreetmap.org/node/2190539042,,tokyo
overpass-0149,高水山,,walking,35.8287437,139.1890472,overpass,https://www.openstreetmap.org/node/2192062689,,tokyo
overpass-0150,岩茸石山,,walking,35.8307011,139.1788011,overpass,https://www.openstreetmap.org/node/2192073822,,tokyo
overpass-0151,惣岳山,,walking,35.819166,139.1777652,overpass,https://www.openstreetmap.org/node/2192073823,,tokyo
overpass-0152,ミツバ岳,,walking,35.4208995,139.0140233,overpass,https://www.openstreetmap.org/node/2216074601,,kanagawa
overpass-0153,百蔵山,ja:百蔵山,walking,35.6381703,138.9810787,overpass,https://www.openstreetmap.org/node/2217829128,,tokyo
overpass-0154,川崎マリエン,,meditation,35.4964997,139.7632627,overpass,https://www.openstreetmap.org/node/2241101922,,kanagawa
overpass-0155,円海山,,walking,35.3612796,139.5944842,overpass,https://www.openstreetmap.org/node/2266534254,,kanagawa
overpass-0156,金時山,ja:金時山,walking,35.2899433,139.0047198,overpass,https://www.openstreetmap.org/node/2270162192,,kanagawa
overpass-0157,足柄公園,,meditation,35.3200758,139.0117745,overpass,https://www.openstreetmap.org/node/2270165415,,kanagawa
overpass-0158,勝峰山,,walking,35.7526357,139.2180096,overpass,https://www.openstreetmap.org/node/2287241473,,tokyo
overpass-0159,飯森山,,walking,35.4388637,138.869977,overpass,https://www.openstreetmap.org/node/2294516184,shade,kanagawa
overpass-0160,大平山,,walking,35.4390997,138.8794398,overpass,https://www.openstreetmap.org/node/2294516185,,kanagawa
overpass-0161,堂所山,,walking,35.6524251,139.1940592,overpass,https://www.openstreetmap.org/node/2297760702,,tokyo
overpass-0162,焼山,ja:焼山 (丹沢),walking,35.5388591,139.16371,overpass,https://www.openstreetmap.org/node/2300508280,,kanagawa
overpass-0163,黍殻山,ja:黍殻山,walking,35.5263911,139.1490356,overpass,https://www.openstreetmap.org/node/2300508281,,kanagawa
overpass-0164,白岩山,ja:白岩山 (埼玉県),walking,35.8788487,138.9522519,overpass,https://www.openstreetmap.org/node/2300534131,,tokyo
overpass-0165,霧藻ケ峰,ja:霧藻ヶ峰,walking,35.903562,138.9532095,overpass,https://www.openstreetmap.org/node/2300534133,,tokyo
overpass-0166,大楠山,,walking,35.2502062,139.6280609,overpass,https://www.openstreetmap.org/node/2303621064,,kanagawa
overpass-0167,富士山,,walking,35.2156727,139.6686844,overpass,https://www.openstreetmap.org/node/2303624963,,kanagawa
overpass-0168,武山,ja:武山,walking,35.2199003,139.655789,overpass,https://www.openstreetmap.org/node/2303624965,,kanagawa
overpass-0169,クロスケの家,,meditation,35.7912073,139.4070947,overpass,https://www.openstreetmap.org/node/2319161782,,tokyo
overpass-0170,県庁本庁舎(King)屋上展望台,,meditation,35.447921,139.6429266,overpass,https://www.openstreetmap.org/node/2319204646,,kanagawa
overpass-0171,滝子山,ja:滝子山,walking,35.6303537,138.8511716,overpass,https://www.openstreetmap.org/node/2328175902,,tokyo
overpass-0172,三ノ木戸山,,walking,35.8129542,139.0652207,overpass,https://www.openstreetmap.org/node/2330522066,,tokyo
overpass-0173,六ツ石山,,walking,35.8172691,139.046447,overpass,https://www.openstreetmap.org/node/2330529952,,tokyo
overpass-0174,雷岩,,meditation,35.746324,138.845532,overpass,https://www.openstreetmap.org/node/2337748020,,tokyo
overpass-0175,導水管,,meditation,35.616625,139.612767,overpass,https://www.openstreetmap.org/node/2355662302,,tokyo
overpass-0176,黒山三滝 男滝・女滝,,meditation,35.9411611,139.2449193,overpass,https://www.openstreetmap.org/node/2372853902,,tokyo
overpass-0177,上谷の大クス,,meditation,35.98034,139.25387,overpass,https://www.openstreetmap.org/node/2372864280,,tokyo
overpass-0178,寺坂棚田,,meditation,35.9904159,139.1081667,overpass,https://www.openstreetmap.org/node/2375871399,,tokyo
overpass-0179,鶏冠山,ja:鶏冠山 (山梨県甲州市),walking,35.7895441,138.8393117,overpass,https://www.openstreetmap.org/node/2383209322,,tokyo
overpass-0180,高取城跡,,meditation,35.961499,139.2907262,overpass,https://www.openstreetmap.org/node/2383468588,,tokyo
overpass-0181,草戸山,,walking,35.6093062,139.268801,overpass,https://www.openstreetmap.org/node/2385380131,,tokyo
overpass-0182,東京都庁展望室 北,,meditation,35.6899139,139.6916135,overpass,https://www.openstreetmap.org/node/2388566136,,tokyo
overpass-0183,東京都庁展望室 南,,meditation,35.689088,139.6917631,overpass,https://www.openstreetmap.org/node/2388566137,,tokyo
overpass-0184,天合峰,,walking,35.6919843,139.2618797,overpass,https://www.openstreetmap.org/node/2396037082,,tokyo
overpass-0185,雨降山,,walking,35.6645683,139.0384579,overpass,https://www.openstreetmap.org/node/2398303490,,tokyo
overpass-0186,北峰,,walking,35.674987,138.9924929,overpass,https://www.openstreetmap.org/node/2398314349,,tokyo
overpass-0187,権現山,,walking,35.6679011,139.0214465,overpass,https://www.openstreetmap.org/node/2398314351,,tokyo
overpass-0188,麻生山,,walking,35.6712134,138.9993411,overpass,https://www.openstreetmap.org/node/2398314352,,tokyo
overpass-0189,大丸,,walking,35.5899495,139.0772988,overpass,https://www.openstreetmap.org/node/2402934355,,tokyo
overpass-0190,高柄山,,walking,35.5946163,139.0890366,overpass,https://www.openstreetmap.org/node/2402950714,,tokyo
overpass-0191,冠ヶ岳,ja:冠ヶ岳,walking,35.2352753,139.0205091,overpass,https://www.openstreetmap.org/node/2406928527,,kanagawa
overpass-0192,神山,ja:神山,walking,35.2334784,139.0209682,overpass,https://www.openstreetmap.org/node/2407810960,,kanagawa
overpass-0193,首都圏4000万人の生活と産業を支える東京港,,meditation,35.620496,139.769112,overpass,https://www.openstreetmap.org/node/2410872058,,tokyo
overpass-0194,生藤山,ja:生藤山,walking,35.6724211,139.132394,overpass,https://www.openstreetmap.org/node/2417236751,,tokyo
overpass-0195,三国峠,ja:三国峠 (東京都・神奈川県・山梨県),walking,35.6719461,139.1309751,overpass,https://www.openstreetmap.org/node/2417236752,,tokyo
overpass-0196,熊倉山,,walking,35.677734,139.1242836,overpass,https://www.openstreetmap.org/node/2417236753,,tokyo
overpass-0197,茅丸,,walking,35.6723485,139.1365103,overpass,https://www.openstreetmap.org/node/2417236754,,tokyo
